housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
41,880.0,129.0,322.0,126.0,8.3252,near bay,452600
21,7099.0,1106.0,2401.0,1138.0,8.3014,near bay,358500
52,1467.0,190.0,496.0,177.0,7.2574,near bay,352100
52,1274.0,235.0,558.0,219.0,5.6431,near bay,341300
52,1627.0,280.0,565.0,259.0,3.8462,near bay,342200
52,919.0,213.0,413.0,193.0,4.0368,near bay,269700
52,2535.0,489.0,1094.0,514.0,3.6591,near bay,299200
52,3104.0,687.0,1157.0,647.0,3.12,near bay,241400
42,2555.0,665.0,1206.0,595.0,2.0804,near bay,226700
52,3549.0,707.0,1551.0,714.0,3.6912,near bay,261100
52,2202.0,434.0,910.0,402.0,3.2031,near bay,281500
52,3503.0,752.0,1504.0,734.0,3.2705,near bay,241800
52,2491.0,474.0,1098.0,468.0,3.075,near bay,213500
52,696.0,191.0,345.0,174.0,2.6736,near bay,191300
52,2643.0,626.0,1212.0,620.0,1.9167,near bay,159200
50,1120.0,283.0,697.0,264.0,2.125,near bay,140000
52,1966.0,347.0,793.0,331.0,2.775,near bay,152500
52,1228.0,293.0,648.0,303.0,2.1202,near bay,155500
50,2239.0,455.0,990.0,419.0,1.9911,near bay,158700
52,1503.0,298.0,690.0,275.0,2.6033,near bay,162900
40,751.0,184.0,409.0,166.0,1.3578,near bay,147500
42,1639.0,367.0,929.0,366.0,1.7135,near bay,159800
52,2436.0,541.0,1015.0,478.0,1.725,near bay,113900
52,1688.0,337.0,853.0,325.0,2.1806,near bay,99700
52,2224.0,437.0,1006.0,422.0,2.6,near bay,132600
41,535.0,123.0,317.0,119.0,2.4038,near bay,107500
49,1130.0,244.0,607.0,239.0,2.4597,near bay,93800
52,1898.0,421.0,1102.0,397.0,1.808,near bay,105500
50,2082.0,492.0,1131.0,473.0,1.6424,near bay,108900
52,729.0,160.0,395.0,155.0,1.6875,near bay,132000
49,1916.0,447.0,863.0,378.0,1.9274,near bay,122300
52,2153.0,481.0,1168.0,441.0,1.9615,near bay,115200
48,1922.0,409.0,1026.0,335.0,1.7969,near bay,110400
49,1655.0,366.0,754.0,329.0,1.375,near bay,104900
51,2665.0,574.0,1258.0,536.0,2.7303,near bay,109700
49,1215.0,282.0,570.0,264.0,1.4861,near bay,97200
48,1798.0,432.0,987.0,374.0,1.0972,near bay,104500
52,1511.0,390.0,901.0,403.0,1.4103,near bay,103900
52,1470.0,330.0,689.0,309.0,3.48,near bay,191400
52,2432.0,715.0,1377.0,696.0,2.5898,near bay,176000
52,1665.0,419.0,946.0,395.0,2.0978,near bay,155400
51,936.0,311.0,517.0,249.0,1.2852,near bay,150000
49,713.0,202.0,462.0,189.0,1.025,near bay,118800
52,950.0,202.0,467.0,198.0,3.9643,near bay,188800
52,1443.0,311.0,660.0,292.0,3.0125,near bay,184400
52,1656.0,420.0,718.0,382.0,2.6768,near bay,182300
50,1125.0,322.0,616.0,304.0,2.026,near bay,142500
43,1007.0,312.0,558.0,253.0,1.7348,near bay,137500
40,624.0,195.0,423.0,160.0,0.9506,near bay,187500
40,946.0,375.0,700.0,352.0,1.775,near bay,112500
21,896.0,453.0,735.0,438.0,0.9218,near bay,171900
43,1868.0,456.0,1061.0,407.0,1.5045,near bay,93800
41,3221.0,853.0,1959.0,720.0,1.1108,near bay,97500
52,1630.0,456.0,1162.0,400.0,1.2475,near bay,104200
52,1170.0,235.0,701.0,233.0,1.6098,near bay,87500
52,945.0,243.0,576.0,220.0,1.4113,near bay,83100
52,1238.0,288.0,622.0,259.0,1.5057,near bay,87500
52,1489.0,335.0,728.0,244.0,0.8172,near bay,85300
52,1387.0,341.0,1074.0,304.0,1.2171,near bay,80300
2,158.0,43.0,94.0,57.0,2.5625,near bay,60000
52,1121.0,211.0,554.0,187.0,3.3929,near bay,75700
49,135.0,29.0,86.0,23.0,6.1183,near bay,75000
50,760.0,190.0,377.0,122.0,0.9011,near bay,86100
52,1224.0,237.0,521.0,159.0,1.191,near bay,76100
48,828.0,182.0,392.0,133.0,2.5938,near bay,73500
52,1010.0,209.0,604.0,187.0,1.1667,near bay,78400
48,1455.0,354.0,788.0,332.0,0.8056,near bay,84400
52,1027.0,244.0,492.0,147.0,2.6094,near bay,81300
52,572.0,109.0,274.0,82.0,1.8516,near bay,85000
46,2801.0,644.0,1823.0,611.0,0.9802,near bay,129200
26,768.0,152.0,392.0,127.0,1.7719,near bay,82500
46,935.0,297.0,582.0,277.0,0.7286,near bay,95200
49,844.0,204.0,560.0,152.0,1.75,near bay,75000
46,12.0,4.0,18.0,7.0,0.4999,near bay,67500
20,835.0,161.0,290.0,133.0,2.483,near bay,137500
17,1237.0,462.0,762.0,439.0,0.9241,near bay,177500
36,2914.0,562.0,1236.0,509.0,2.4464,near bay,102100
19,1207.0,243.0,721.0,207.0,1.1111,near bay,108300
23,1745.0,374.0,1054.0,325.0,0.8026,near bay,112500
38,684.0,176.0,344.0,155.0,2.0114,near bay,131300
17,924.0,289.0,609.0,289.0,1.5,near bay,162500
52,210.0,56.0,183.0,56.0,1.1667,near bay,112500
52,340.0,97.0,200.0,87.0,1.5208,near bay,112500
52,386.0,164.0,346.0,155.0,0.8075,near bay,137500
35,948.0,184.0,467.0,169.0,1.8088,near bay,118800
52,773.0,143.0,377.0,115.0,2.4083,near bay,98200
40,880.0,451.0,582.0,380.0,0.977,near bay,118800
10,875.0,348.0,546.0,330.0,0.76,near bay,162500
