housing_median_age,population,median_income,ocean_proximity,median_house_value,population_per_households,rooms_per_household,bed_rooms_per_household,population_per_bedrooms,rooms_per_bedrooms
41,322.0,8.3252,Coastal,452600,2.5555555555555554,6.984126984126984,1.0238095238095237,2.496124031007752,6.821705426356589
21,2401.0,8.3014,Coastal,358500,2.109841827768014,6.238137082601054,0.9718804920913884,2.170886075949367,6.418625678119349
52,496.0,7.2574,Coastal,352100,2.8022598870056497,8.288135593220339,1.073446327683616,2.610526315789474,7.721052631578948
52,558.0,5.6431,Coastal,341300,2.547945205479452,5.8173515981735155,1.0730593607305936,2.374468085106383,5.421276595744681
52,565.0,3.8462,Coastal,342200,2.1814671814671813,6.281853281853282,1.0810810810810811,2.017857142857143,5.810714285714286
52,413.0,4.0368,Coastal,269700,2.139896373056995,4.761658031088083,1.1036269430051813,1.9389671361502347,4.314553990610329
52,1094.0,3.6591,Coastal,299200,2.1284046692607004,4.9319066147859925,0.9513618677042801,2.2372188139059306,5.184049079754601
52,1157.0,3.12,Coastal,241400,1.7882534775888717,4.797527047913447,1.061823802163833,1.6841339155749635,4.518195050946143
42,1206.0,2.0804,Coastal,226700,2.026890756302521,4.294117647058823,1.1176470588235294,1.8135338345864662,3.8421052631578947
52,1551.0,3.6912,Coastal,261100,2.172268907563025,4.970588235294118,0.9901960784313726,2.1937765205091937,5.01980198019802
52,910.0,3.2031,Coastal,281500,2.263681592039801,5.477611940298507,1.0796019900497513,2.096774193548387,5.073732718894009
52,1504.0,3.2705,Coastal,241800,2.0490463215258856,4.772479564032698,1.0245231607629428,2.0,4.658244680851064
52,1098.0,3.075,Coastal,213500,2.3461538461538463,5.322649572649572,1.0128205128205128,2.3164556962025316,5.255274261603375
52,345.0,2.6736,Coastal,191300,1.9827586206896552,4.0,1.0977011494252873,1.806282722513089,3.643979057591623
52,1212.0,1.9167,Coastal,159200,1.9548387096774194,4.262903225806451,1.0096774193548388,1.9361022364217253,4.222044728434505
50,697.0,2.125,Coastal,140000,2.640151515151515,4.242424242424242,1.071969696969697,2.462897526501767,3.9575971731448765
52,793.0,2.775,Coastal,152500,2.395770392749245,5.9395770392749245,1.0483383685800605,2.2853025936599423,5.665706051873199
52,648.0,2.1202,Coastal,155500,2.1386138613861387,4.052805280528053,0.966996699669967,2.21160409556314,4.191126279863481
50,990.0,1.9911,Coastal,158700,2.3627684964200477,5.343675417661098,1.0859188544152745,2.1758241758241756,4.920879120879121
52,690.0,2.6033,Coastal,162900,2.5090909090909093,5.465454545454546,1.0836363636363637,2.315436241610738,5.043624161073826
40,409.0,1.3578,Coastal,147500,2.463855421686747,4.524096385542169,1.108433734939759,2.222826086956522,4.081521739130435
42,929.0,1.7135,Coastal,159800,2.5382513661202184,4.478142076502732,1.0027322404371584,2.5313351498637604,4.4659400544959125
52,1015.0,1.725,Coastal,113900,2.1234309623430963,5.096234309623431,1.1317991631799162,1.8761552680221811,4.502772643253235
52,853.0,2.1806,Coastal,99700,2.624615384615385,5.193846153846154,1.0369230769230768,2.5311572700296736,5.008902077151335
52,1006.0,2.6,Coastal,132600,2.3838862559241707,5.270142180094787,1.0355450236966826,2.3020594965675056,5.089244851258581
41,317.0,2.4038,Coastal,107500,2.6638655462184873,4.495798319327731,1.0336134453781514,2.5772357723577235,4.349593495934959
49,607.0,2.4597,Coastal,93800,2.5397489539748954,4.7280334728033475,1.0209205020920502,2.487704918032787,4.631147540983607
52,1102.0,1.808,Coastal,105500,2.7758186397984885,4.7808564231738035,1.0604534005037782,2.6175771971496435,4.508313539192399
50,1131.0,1.6424,Coastal,108900,2.3911205073995774,4.40169133192389,1.040169133192389,2.298780487804878,4.2317073170731705
52,395.0,1.6875,Coastal,132000,2.5483870967741935,4.703225806451613,1.032258064516129,2.46875,4.55625
49,863.0,1.9274,Coastal,122300,2.2830687830687832,5.068783068783069,1.1825396825396826,1.9306487695749441,4.286353467561521
52,1168.0,1.9615,Coastal,115200,2.6485260770975056,4.882086167800454,1.090702947845805,2.4282744282744284,4.476091476091476
48,1026.0,1.7969,Coastal,110400,3.062686567164179,5.737313432835821,1.2208955223880598,2.508557457212714,4.699266503667482
49,754.0,1.375,Coastal,104900,2.291793313069909,5.0303951367781155,1.1124620060790273,2.060109289617486,4.521857923497268
51,1258.0,2.7303,Coastal,109700,2.3470149253731343,4.972014925373134,1.0708955223880596,2.191637630662021,4.642857142857143
49,570.0,1.4861,Coastal,97200,2.159090909090909,4.6022727272727275,1.0681818181818181,2.021276595744681,4.308510638297872
48,987.0,1.0972,Coastal,104500,2.6390374331550803,4.807486631016043,1.1550802139037433,2.2847222222222223,4.162037037037037
52,901.0,1.4103,Coastal,103900,2.235732009925558,3.7493796526054592,0.967741935483871,2.31025641025641,3.8743589743589744
52,689.0,3.48,Coastal,191400,2.2297734627831716,4.757281553398058,1.0679611650485437,2.087878787878788,4.454545454545454
52,1377.0,2.5898,Coastal,176000,1.978448275862069,3.4942528735632186,1.0272988505747127,1.9258741258741259,3.4013986013986015
52,946.0,2.0978,Coastal,155400,2.3949367088607594,4.215189873417722,1.0607594936708862,2.2577565632458234,3.9737470167064437
51,517.0,1.2852,Coastal,150000,2.076305220883534,3.7590361445783134,1.248995983935743,1.662379421221865,3.009646302250804
49,462.0,1.025,Coastal,118800,2.4444444444444446,3.7724867724867726,1.0687830687830688,2.287128712871287,3.5297029702970297
52,467.0,3.9643,Coastal,188800,2.3585858585858586,4.797979797979798,1.02020202020202,2.3118811881188117,4.702970297029703
52,660.0,3.0125,Coastal,184400,2.26027397260274,4.941780821917808,1.0650684931506849,2.122186495176849,4.639871382636656
52,718.0,2.6768,Coastal,182300,1.8795811518324608,4.335078534031414,1.0994764397905759,1.7095238095238094,3.942857142857143
50,616.0,2.026,Coastal,142500,2.026315789473684,3.700657894736842,1.0592105263157894,1.9130434782608696,3.4937888198757765
43,558.0,1.7348,Coastal,137500,2.205533596837945,3.9802371541501977,1.233201581027668,1.7884615384615385,3.2275641025641026
40,423.0,0.9506,Coastal,187500,2.64375,3.9,1.21875,2.169230769230769,3.2
40,700.0,1.775,Coastal,112500,1.9886363636363635,2.6875,1.0653409090909092,1.8666666666666667,2.522666666666667
21,735.0,0.9218,Coastal,171900,1.678082191780822,2.045662100456621,1.0342465753424657,1.6225165562913908,1.9779249448123621
43,1061.0,1.5045,Coastal,93800,2.6068796068796067,4.58968058968059,1.1203931203931203,2.3267543859649122,4.0964912280701755
41,1959.0,1.1108,Coastal,97500,2.720833333333333,4.473611111111111,1.1847222222222222,2.2966002344665886,3.776084407971864
52,1162.0,1.2475,Coastal,104200,2.905,4.075,1.14,2.5482456140350878,3.574561403508772
52,701.0,1.6098,Coastal,87500,3.0085836909871246,5.021459227467811,1.0085836909871244,2.9829787234042553,4.9787234042553195
52,576.0,1.4113,Coastal,83100,2.618181818181818,4.295454545454546,1.1045454545454545,2.3703703703703702,3.888888888888889
52,622.0,1.5057,Coastal,87500,2.4015444015444016,4.77992277992278,1.111969111969112,2.1597222222222223,4.298611111111111
52,728.0,0.8172,Coastal,85300,2.9836065573770494,6.102459016393443,1.3729508196721312,2.1731343283582087,4.444776119402985
52,1074.0,1.2171,Coastal,80300,3.5328947368421053,4.5625,1.1217105263157894,3.1495601173020527,4.067448680351906
2,94.0,2.5625,Coastal,60000,1.6491228070175439,2.7719298245614037,0.7543859649122807,2.186046511627907,3.6744186046511627
52,554.0,3.3929,Coastal,75700,2.962566844919786,5.994652406417113,1.1283422459893049,2.625592417061611,5.312796208530806
49,86.0,6.1183,Coastal,75000,3.739130434782609,5.869565217391305,1.2608695652173914,2.9655172413793105,4.655172413793103
50,377.0,0.9011,Coastal,86100,3.0901639344262297,6.229508196721311,1.5573770491803278,1.9842105263157894,4.0
52,521.0,1.191,Coastal,76100,3.2767295597484276,7.69811320754717,1.490566037735849,2.19831223628692,5.1645569620253164
48,392.0,2.5938,Coastal,73500,2.9473684210526314,6.225563909774436,1.368421052631579,2.1538461538461537,4.549450549450549
52,604.0,1.1667,Coastal,78400,3.229946524064171,5.401069518716578,1.1176470588235294,2.889952153110048,4.832535885167464
48,788.0,0.8056,Coastal,84400,2.3734939759036147,4.382530120481928,1.0662650602409638,2.225988700564972,4.110169491525424
52,492.0,2.6094,Coastal,81300,3.3469387755102042,6.98639455782313,1.6598639455782314,2.0163934426229506,4.209016393442623
52,274.0,1.8516,Coastal,85000,3.341463414634146,6.975609756097561,1.329268292682927,2.5137614678899083,5.247706422018348
46,1823.0,0.9802,Coastal,129200,2.983633387888707,4.584288052373159,1.0540098199672667,2.830745341614907,4.349378881987578
26,392.0,1.7719,Coastal,82500,3.0866141732283463,6.047244094488189,1.1968503937007875,2.5789473684210527,5.052631578947368
46,582.0,0.7286,Coastal,95200,2.101083032490975,3.375451263537906,1.0722021660649819,1.9595959595959596,3.1481481481481484
49,560.0,1.75,Coastal,75000,3.6842105263157894,5.552631578947368,1.3421052631578947,2.7450980392156863,4.137254901960785
46,18.0,0.4999,Coastal,67500,2.5714285714285716,1.7142857142857142,0.5714285714285714,4.5,3.0
20,290.0,2.483,Coastal,137500,2.180451127819549,6.2781954887218046,1.2105263157894737,1.8012422360248448,5.186335403726708
17,762.0,0.9241,Coastal,177500,1.7357630979498861,2.8177676537585423,1.0523917995444192,1.6493506493506493,2.6774891774891776
36,1236.0,2.4464,Coastal,102100,2.4282907662082516,5.724950884086444,1.1041257367387034,2.199288256227758,5.185053380782918
19,721.0,1.1111,Coastal,108300,3.4830917874396135,5.830917874396135,1.173913043478261,2.9670781893004117,4.967078189300412
23,1054.0,0.8026,Coastal,112500,3.243076923076923,5.369230769230769,1.1507692307692308,2.8181818181818183,4.665775401069519
38,344.0,2.0114,Coastal,131300,2.2193548387096773,4.412903225806452,1.135483870967742,1.9545454545454546,3.8863636363636362
17,609.0,1.5,Coastal,162500,2.1072664359861593,3.1972318339100347,1.0,2.1072664359861593,3.1972318339100347
52,183.0,1.1667,Coastal,112500,3.267857142857143,3.75,1.0,3.267857142857143,3.75
52,200.0,1.5208,Coastal,112500,2.2988505747126435,3.9080459770114944,1.1149425287356323,2.0618556701030926,3.5051546391752577
52,346.0,0.8075,Coastal,137500,2.232258064516129,2.490322580645161,1.0580645161290323,2.1097560975609757,2.3536585365853657
35,467.0,1.8088,Coastal,118800,2.7633136094674557,5.609467455621302,1.0887573964497042,2.5380434782608696,5.1521739130434785
52,377.0,2.4083,Coastal,98200,3.2782608695652176,6.721739130434782,1.2434782608695651,2.6363636363636362,5.405594405594406
